id,maakond,linn,linnaosa,pind,tube,magamistube,korrus,korruseid,ehitusaasta,seisukord,energiamärgis,hoone materjal,omandivorm,hind3559669,harjumaa,harku vald,tiskre,85.5,4,3,2,2,2024,uus,a,,korteriomand,282150
3669350,harjumaa,tallinn,kesklinn,134.8,6,3,,2,,uusarendus,b,,,695000
3620876,harjumaa,tallinn,põhja-tallinn,66.8,3,2,1,4,2025,uusarendus,a,,korteriomand,414500
3699582,harjumaa,tallinn,kesklinn,22.2,1,1,2,3,2026,uusarendus,c,,korteriomand,130000
3551033,harjumaa,tallinn,mustamäe,61,3,2,4,9,2024,uus,b,,korteriomand,264990
3696848,harjumaa,tallinn,kesklinn,62.9,3,2,1,3,2023,uus,a,,korteriomand,279000
3489001,harjumaa,tallinn,haabersti,36.1,1,1,3,4,2023,uusarendus,a,,korteriomand,180000
3700416,tartumaa,tartu,märja,39.1,2,1,5,5,2024,uus,b,,korteriomand,112000
3700127,harjumaa,tallinn,kesklinn,70.3,3,2,1,3,2026,uusarendus,a,,korteriomand,295260
3585874,harjumaa,tallinn,põhja-tallinn,30.7,1,1,3,4,2025,uusarendus,a,,korteriomand,219800
3699235,harjumaa,tallinn,põhja-tallinn,39.9,2,1,4,4,1963,renoveeritud,d,,korteriomand,129000
3567164,harjumaa,harku vald,harkujärve,75.3,4,3,2,3,2025,uusarendus,a,,korteriomand,254900
3700048,pärnumaa,pärnu,kesklinn,51.2,3,,2,2,1961,valmis,puudub,,korteriomand,77000
3678895,harjumaa,tallinn,kesklinn,33,2,1,3,3,1940,heas korras,-,,korteriomand,133900
3638311,harjumaa,tallinn,mustamäe,43,2,,1,5,,renoveeritud,,,,99800
3679708,ida-virumaa,jõhvi vald,jõhvi linn,92.7,5,,1,2,1970,keskmine,puudub,,korteriomand,35000
3702032,tartumaa,tartu,tartu linn,49.1,2,,4,5,1982,renoveeritud,d,,korteriomand,98200
3676579,harjumaa,tallinn,pirita,54.2,2,1,4,4,2007,heas korras,-,,korteriomand,189000
3494241,harjumaa,tallinn,haabersti,62.5,3,2,2,4,2024,uusarendus,a,,korteriomand,219000
3691274,pärnumaa,pärnu,rääma,64.9,3,2,4,4,1979,valmis,e,,korteriomand,112000
3552313,tartumaa,tartu,tartu linn,93.1,3,1,3,3,1875,heas korras,d,,korteriomand,319000
3594136,harjumaa,tallinn,haabersti,102.1,4,3,2,3,2024,uusarendus,a,,korteriomand,499000
3620988,harjumaa,tallinn,pirita,99,4,3,1,3,,uusarendus,a,,,539000
3694401,harjumaa,tallinn,haabersti,52.7,3,2,1,4,,uusarendus,a,,,192900
3684079,pärnumaa,pärnu,pärnu linn,70.8,3,2,1,2,1909,renoveeritud,puudub,,korteriomand,148000
3694413,harjumaa,tallinn,haabersti,67.3,3,2,2,4,,uusarendus,a,,,238900
3701966,ida-virumaa,jõhvi vald,jõhvi linn,37.6,2,,2,5,1973,vajab renoveerimist,e,,korteriomand,22500
3695946,harjumaa,tallinn,kesklinn,95,3,2,2,5,1929,renoveeritud,-,,korteriomand,337000
3660027,harjumaa,tallinn,pirita,51.3,2,1,1,3,,uusarendus,a,,,279000
3677123,harjumaa,viimsi vald,viimsi,65.9,3,2,1,5,1982,,puudub,,korteriomand,148000
3431882,harjumaa,tallinn,haabersti,102.2,4,3,1,3,2023,uusarendus,a,,korteriomand,439000
3592091,harjumaa,keila,2 tuba - paldiski mnt 14,45.6,2,1,2,3,2024,uusarendus,a,,korteriomand,155900
3701031,harjumaa,tallinn,põhja-tallinn,95.4,3,,3,3,2025,uusarendus,c,,korteriomand,649900
3520309,harjumaa,harku vald,harkujärve,94.3,5,4,2,3,2025,uusarendus,a,,korteriomand,309900
3699666,harjumaa,tallinn,kesklinn,109.8,3,2,2,7,1997,valmis,d,,korteriomand,290000
3659240,harjumaa,tallinn,haabersti,52.4,2,1,7,16,1982,renoveeritud,,,,119900
3567169,harjumaa,harku vald,harkujärve,94.6,4,3,3,3,2025,uusarendus,a,,korteriomand,295900
3675363,pärnumaa,pärnu,kesklinn,47.5,2,1,2,2,1920,renoveeritud,puudub,,korteriomand,109250
3615006,harjumaa,tallinn,pirita,110,4,3,2,3,,uusarendus,a,,,699000
3689919,harjumaa,lääne-harju vald,paldiski linn,61.3,3,,5,5,1998,,d,,,65999
3683017,harjumaa,tallinn,kristiine,105.3,4,3,2,3,2023,uusarendus,a,,korteriomand,535000
3694429,harjumaa,tallinn,kesklinn,117.3,5,3,1,4,2025,uusarendus,a,,korteriomand,715900
3661311,harjumaa,tallinn,kesklinn,77.7,3,2,3,3,2024,uusarendus,b,,korteriomand,299000
3682337,pärnumaa,pärnu,kesklinn,62,4,3,1,2,1996,renoveeritud,,,korteriomand,159000
3679791,harjumaa,tallinn,põhja-tallinn,67.9,3,2,4,4,1999,,c,,korteriomand,174900
3701857,harjumaa,tallinn,põhja-tallinn,48.5,3,2,2,5,1987,renoveeritud,f,,korteriomand,136000
3695682,harjumaa,tallinn,põhja-tallinn,102.1,4,3,3,3,2023,uusarendus,a,,korteriomand,499000
3701544,harjumaa,tallinn,põhja-tallinn,38.5,2,1,6,16,1979,renoveeritud,-,,korteriomand,112899.97
3630483,harjumaa,tallinn,haabersti,55.9,3,2,2,3,2025,uusarendus,a,,korteriomand,205900
3702968,harjumaa,tallinn,kristiine,33.5,1,1,3,6,2005,renoveeritud,f,,korteriomand,139950
3594948,harjumaa,tallinn,kesklinn,72.7,4,3,3,4,2024,uusarendus,a,,korteriomand,365207
3693218,tartumaa,tartu,märja,39.1,2,1,5,5,2024,uus,b,,korteriomand,112000
3639781,harjumaa,tallinn,pirita,123.1,4,3,3,3,,uusarendus,a,,,995000
3700130,harjumaa,tallinn,kesklinn,99.4,4,3,1,3,2026,uusarendus,a,,korteriomand,646100
3691181,harjumaa,tallinn,lasnamäe,69.5,3,3,3,5,2020,heas korras,c,,korteriomand,275000
3684415,harjumaa,tallinn,põhja-tallinn,67.3,3,2,1,4,2025,uusarendus,a,,korteriomand,399900
3435465,harjumaa,tallinn,haabersti,67.3,3,2,3,4,2024,uusarendus,a,,korteriomand,239000
3646579,harjumaa,tallinn,haabersti,66,3,,3,9,1975,renoveeritud,e,,korteriomand,163900
3690696,harjumaa,tallinn,kesklinn,96.1,2,,1,3,1936,,,,korteriomand,259000
3694686,harjumaa,tallinn,kesklinn,89.2,3,3,4,5,2008,heas korras,puudub,,korteriomand,249990
3494249,harjumaa,tallinn,haabersti,52.6,2,1,3,4,2024,uusarendus,a,,korteriomand,195000
3587103,harjumaa,tallinn,kesklinn,58,2,1,8,12,2004,heas korras,-,,korteriomand,194900
3702541,harjumaa,tallinn,lasnamäe,52.9,2,3,4,5,1987,renoveeritud,d,,korteriomand,140000
